modified_date,jobcountry,% of job postings
1/4/19,AU,1.947470164
2/4/19,AU,1.948709343
3/4/19,AU,1.948562759
4/4/19,AU,1.942168198
5/4/19,AU,1.94407219
6/4/19,AU,1.940730872
7/4/19,AU,1.937811695
8/4/19,AU,1.941392199
9/4/19,AU,1.942653094
10/4/19,AU,1.941516241
11/4/19,AU,1.947239348
12/4/19,AU,1.94937794
13/4/19,AU,1.957327851
14/4/19,AU,1.966683339
15/4/19,AU,1.9738031
16/4/19,AU,1.977760311
17/4/19,AU,1.983101654
18/4/19,AU,1.990668199
19/4/19,AU,1.997525561
20/4/19,AU,2.002610407
21/4/19,AU,2.006350451
22/4/19,AU,2.011847999
23/4/19,AU,2.018778965
24/4/19,AU,2.029896606
25/4/19,AU,2.033787077
26/4/19,AU,2.030226887
27/4/19,AU,2.031085142
28/4/19,AU,2.031675287
29/4/19,AU,2.034218916
30/4/19,AU,2.031173833
1/5/19,AU,2.017984105
2/5/19,AU,2.014949895
3/5/19,AU,2.014391625
4/5/19,AU,2.007009928
5/5/19,AU,1.999585188
6/5/19,AU,1.98700708
7/5/19,AU,1.979977584
8/5/19,AU,1.977693381
9/5/19,AU,1.969651958
10/5/19,AU,1.965110249
11/5/19,AU,1.964422721
12/5/19,AU,1.964875459
13/5/19,AU,1.966599017
14/5/19,AU,1.970417558
15/5/19,AU,1.971142326
16/5/19,AU,1.968137133
17/5/19,AU,1.970655614
18/5/19,AU,1.974092088
19/5/19,AU,1.97562919
20/5/19,AU,1.975338219
21/5/19,AU,1.973044683
22/5/19,AU,1.976243072
23/5/19,AU,1.983626828
24/5/19,AU,1.985464021
25/5/19,AU,1.982999616
26/5/19,AU,1.980427066
27/5/19,AU,1.97861554
28/5/19,AU,1.974922187
29/5/19,AU,1.970097943
30/5/19,AU,1.958803643
31/5/19,AU,1.950512327
1/6/19,AU,1.94554137
2/6/19,AU,1.941373391
3/6/19,AU,1.942746928
4/6/19,AU,1.947088117
5/6/19,AU,1.951661046
6/6/19,AU,1.96027723
7/6/19,AU,1.966160995
8/6/19,AU,1.976823295
9/6/19,AU,1.989657922
10/6/19,AU,1.998313895
11/6/19,AU,1.999324862
12/6/19,AU,1.995356124
13/6/19,AU,1.991105362
14/6/19,AU,1.979850729
15/6/19,AU,1.971205785
16/6/19,AU,1.956517644
17/6/19,AU,1.940106114
18/6/19,AU,1.930615343
19/6/19,AU,1.922383087
20/6/19,AU,1.913486955
21/6/19,AU,1.917821066
22/6/19,AU,1.92204251
23/6/19,AU,1.929297245
24/6/19,AU,1.940952195
25/6/19,AU,1.9521672
26/6/19,AU,1.96689415
27/6/19,AU,1.978798812
28/6/19,AU,1.987115174
29/6/19,AU,1.984190884
30/6/19,AU,1.983235426
1/7/19,AU,1.979605419
2/7/19,AU,1.974421994
3/7/19,AU,1.967495855
4/7/19,AU,1.968243352
5/7/19,AU,1.965809792
6/7/19,AU,1.967754744
7/7/19,AU,1.969407468
8/7/19,AU,1.974468961
9/7/19,AU,1.982993024
10/7/19,AU,1.99402817
11/7/19,AU,2.006438591
12/7/19,AU,2.018186762
13/7/19,AU,2.029056325
14/7/19,AU,2.041963467
15/7/19,AU,2.055260119
16/7/19,AU,2.065252088
17/7/19,AU,2.074148989
18/7/19,AU,2.075969845
19/7/19,AU,2.079146627
20/7/19,AU,2.089746355
21/7/19,AU,2.09809745
22/7/19,AU,2.107776815
23/7/19,AU,2.118531936
24/7/19,AU,2.128313076
25/7/19,AU,2.140471503
26/7/19,AU,2.154676679
27/7/19,AU,2.161731203
28/7/19,AU,2.170897496
29/7/19,AU,2.167302123
30/7/19,AU,2.156054042
31/7/19,AU,2.144157979
1/8/19,AU,2.125044816
2/8/19,AU,2.10961446
3/8/19,AU,2.09676245
4/8/19,AU,2.079176965
5/8/19,AU,2.075590074
6/8/19,AU,2.075379567
7/8/19,AU,2.080506113
8/8/19,AU,2.089952463
9/8/19,AU,2.093321553
10/8/19,AU,2.095325148
11/8/19,AU,2.100295912
12/8/19,AU,2.097678303
13/8/19,AU,2.096947688
14/8/19,AU,2.09369898
15/8/19,AU,2.095554382
16/8/19,AU,2.098331836
17/8/19,AU,2.10500762
18/8/19,AU,2.114381909
19/8/19,AU,2.124938147
20/8/19,AU,2.135122652
21/8/19,AU,2.145713532
22/8/19,AU,2.14819199
23/8/19,AU,2.159582241
24/8/19,AU,2.166117816
25/8/19,AU,2.171100763
26/8/19,AU,2.171073286
27/8/19,AU,2.173182025
28/8/19,AU,2.171598313
29/8/19,AU,2.171088067
30/8/19,AU,2.164198872
31/8/19,AU,2.157617112
1/9/19,AU,2.14901408
2/9/19,AU,2.139253758
3/9/19,AU,2.130759208
4/9/19,AU,2.118574222
5/9/19,AU,2.109365025
6/9/19,AU,2.09579144
7/9/19,AU,2.084606387
8/9/19,AU,2.070851414
9/9/19,AU,2.075831565
10/9/19,AU,2.080293196
11/9/19,AU,2.088133527
12/9/19,AU,2.085199825
13/9/19,AU,2.078921154
14/9/19,AU,2.075303852
15/9/19,AU,2.071161093
16/9/19,AU,2.056722507
17/9/19,AU,2.042154116
18/9/19,AU,2.02845627
19/9/19,AU,2.02671891
20/9/19,AU,2.035038043
21/9/19,AU,2.034519718
22/9/19,AU,2.039688778
23/9/19,AU,2.04162015
24/9/19,AU,2.039921397
25/9/19,AU,2.034984184
26/9/19,AU,2.020840157
27/9/19,AU,2.001433691
28/9/19,AU,1.984838621
29/9/19,AU,1.965284074
30/9/19,AU,1.947498813
1/10/19,AU,1.930924486
2/10/19,AU,1.918005624
3/10/19,AU,1.917405342
4/10/19,AU,1.91791181
5/10/19,AU,1.926268953
6/10/19,AU,1.933262538
7/10/19,AU,1.938965288
8/10/19,AU,1.949808778
9/10/19,AU,1.961370371
10/10/19,AU,1.967719958
11/10/19,AU,1.973192559
12/10/19,AU,1.974090114
13/10/19,AU,1.977389791
14/10/19,AU,1.983123692
15/10/19,AU,1.984956051
16/10/19,AU,1.979629867
17/10/19,AU,1.976305952
18/10/19,AU,1.972584981
19/10/19,AU,1.965597807
20/10/19,AU,1.958529709
21/10/19,AU,1.952053939
22/10/19,AU,1.94608596
23/10/19,AU,1.948007857
24/10/19,AU,1.950617646
25/10/19,AU,1.953046756
26/10/19,AU,1.955994126
27/10/19,AU,1.963160404
28/10/19,AU,1.964659689
29/10/19,AU,1.967036382
30/10/19,AU,1.97290932
31/10/19,AU,1.977734534
1/11/19,AU,1.985533021
2/11/19,AU,1.991660918
3/11/19,AU,1.993868385
4/11/19,AU,1.999455049
5/11/19,AU,2.002665718
6/11/19,AU,2.00255805
7/11/19,AU,2.002600455
8/11/19,AU,2.000250947
9/11/19,AU,2.005280829
10/11/19,AU,2.006336353
11/11/19,AU,2.009907491
12/11/19,AU,2.010678209
13/11/19,AU,2.010383739
14/11/19,AU,2.011689918
15/11/19,AU,2.01361983
16/11/19,AU,2.010780717
17/11/19,AU,2.007912377
18/11/19,AU,2.009062992
19/11/19,AU,2.018101125
20/11/19,AU,2.027342909
21/11/19,AU,2.036128411
22/11/19,AU,2.039970366
23/11/19,AU,2.047617029
24/11/19,AU,2.057170612
25/11/19,AU,2.061124583
26/11/19,AU,2.066484742
27/11/19,AU,2.07307726
28/11/19,AU,2.076114561
29/11/19,AU,2.085124171
30/11/19,AU,2.097268898
1/12/19,AU,2.105781988
2/12/19,AU,2.114234257
3/12/19,AU,2.122260507
4/12/19,AU,2.128287549
5/12/19,AU,2.137681595
6/12/19,AU,2.148930818
7/12/19,AU,2.158880625
8/12/19,AU,2.171764063
9/12/19,AU,2.181174382
10/12/19,AU,2.189946006
11/12/19,AU,2.200451118
12/12/19,AU,2.215521675
13/12/19,AU,2.224828717
14/12/19,AU,2.226993491
15/12/19,AU,2.236299506
16/12/19,AU,2.249134672
17/12/19,AU,2.253108345
18/12/19,AU,2.258888052
19/12/19,AU,2.262081971
20/12/19,AU,2.264976666
21/12/19,AU,2.268939194
22/12/19,AU,2.267378328
23/12/19,AU,2.270594324
24/12/19,AU,2.276261043
25/12/19,AU,2.285552731
26/12/19,AU,2.286731963
27/12/19,AU,2.291418976
28/12/19,AU,2.294772248
29/12/19,AU,2.303934524
30/12/19,AU,2.301217168
31/12/19,AU,2.304274327
1/1/20,AU,2.304056343
2/1/20,AU,2.312393534
3/1/20,AU,2.319678968
4/1/20,AU,2.325556477
5/1/20,AU,2.327474139
6/1/20,AU,2.337642485
7/1/20,AU,2.342808491
8/1/20,AU,2.339284515
9/1/20,AU,2.329039063
10/1/20,AU,2.320475837
11/1/20,AU,2.310400064
12/1/20,AU,2.303813452
13/1/20,AU,2.292768592
14/1/20,AU,2.284611627
15/1/20,AU,2.279813004
16/1/20,AU,2.279331928
17/1/20,AU,2.278295198
18/1/20,AU,2.282792619
19/1/20,AU,2.284977422
20/1/20,AU,2.284035113
21/1/20,AU,2.281944092
22/1/20,AU,2.280588028
23/1/20,AU,2.278421318
24/1/20,AU,2.279350574
25/1/20,AU,2.274104461
26/1/20,AU,2.266990992
27/1/20,AU,2.267916331
28/1/20,AU,2.266787987
29/1/20,AU,2.264661708
30/1/20,AU,2.264733703
31/1/20,AU,2.262008435
1/2/20,AU,2.255575505
2/2/20,AU,2.253607419
3/2/20,AU,2.249377554
4/2/20,AU,2.246193969
5/2/20,AU,2.250933099
6/2/20,AU,2.246473571
7/2/20,AU,2.245690227
8/2/20,AU,2.249892809
9/2/20,AU,2.257185496
10/2/20,AU,2.268716965
11/2/20,AU,2.286901759
12/2/20,AU,2.301525655
13/2/20,AU,2.322113561
14/2/20,AU,2.338556236
15/2/20,AU,2.359492661
16/2/20,AU,2.372498549
17/2/20,AU,2.385650776
18/2/20,AU,2.396589529
19/2/20,AU,2.405898373
20/2/20,AU,2.419633771
21/2/20,AU,2.426740784
22/2/20,AU,2.428224494
23/2/20,AU,2.436390205
24/2/20,AU,2.439348222
25/2/20,AU,2.437988191
26/2/20,AU,2.434927861
27/2/20,AU,2.429106823
28/2/20,AU,2.456244495
29/2/20,AU,2.486771977
1/3/20,AU,2.511949235
2/3/20,AU,2.537579132
3/3/20,AU,2.565971509
4/3/20,AU,2.588710876
5/3/20,AU,2.617761796
6/3/20,AU,2.624549933
7/3/20,AU,2.631741275
8/3/20,AU,2.640740641
9/3/20,AU,2.651055943
10/3/20,AU,2.658946209
11/3/20,AU,2.670418411
12/3/20,AU,2.673771673
13/3/20,AU,2.672287237
14/3/20,AU,2.667831719
15/3/20,AU,2.661757161
16/3/20,AU,2.659116426
17/3/20,AU,2.656826269
18/3/20,AU,2.665270812
19/3/20,AU,2.677340308
20/3/20,AU,2.694365019
21/3/20,AU,2.698622043
22/3/20,AU,2.707572713
23/3/20,AU,2.71385158
24/3/20,AU,2.720426627
25/3/20,AU,2.719782118
26/3/20,AU,2.709259223
27/3/20,AU,2.685021052
28/3/20,AU,2.670693927
29/3/20,AU,2.662422971
30/3/20,AU,2.644035819
31/3/20,AU,2.625888876
1/4/20,AU,2.612071042
2/4/20,AU,2.608677425
3/4/20,AU,2.614200078
4/4/20,AU,2.625366027
5/4/20,AU,2.63156179
6/4/20,AU,2.647838719
7/4/20,AU,2.662539629
8/4/20,AU,2.670851212
9/4/20,AU,2.682323202
10/4/20,AU,2.690519463
11/4/20,AU,2.68629278
12/4/20,AU,2.68784738
13/4/20,AU,2.692915135
14/4/20,AU,2.701808384
15/4/20,AU,2.701207774
16/4/20,AU,2.692553168
17/4/20,AU,2.699237101
18/4/20,AU,2.708115532
19/4/20,AU,2.712344599
20/4/20,AU,2.723580684
21/4/20,AU,2.734151497
22/4/20,AU,2.75819123
23/4/20,AU,2.78541992
24/4/20,AU,2.795941328
25/4/20,AU,2.801637193
26/4/20,AU,2.807627726
27/4/20,AU,2.800373672
28/4/20,AU,2.786223039
29/4/20,AU,2.773919174
30/4/20,AU,2.758316795
1/5/20,AU,2.745273949
2/5/20,AU,2.752938391
3/5/20,AU,2.756967829
4/5/20,AU,2.764341738
5/5/20,AU,2.768273836
6/5/20,AU,2.767286645
7/5/20,AU,2.756356254
8/5/20,AU,2.746111183
9/5/20,AU,2.726285734
10/5/20,AU,2.704913145
11/5/20,AU,2.687312606
12/5/20,AU,2.679197642
13/5/20,AU,2.668548362
14/5/20,AU,2.671425383
15/5/20,AU,2.672336031
16/5/20,AU,2.673003876
17/5/20,AU,2.669917605
18/5/20,AU,2.665832959
19/5/20,AU,2.645854784
20/5/20,AU,2.627759242
21/5/20,AU,2.605730694
22/5/20,AU,2.591679074
23/5/20,AU,2.56358728
24/5/20,AU,2.537379819
25/5/20,AU,2.504332659
26/5/20,AU,2.484309351
27/5/20,AU,2.478078667
28/5/20,AU,2.472398901
29/5/20,AU,2.459055775
30/5/20,AU,2.466340779
31/5/20,AU,2.461347062
1/6/20,AU,2.448701969
2/6/20,AU,2.445912528
3/6/20,AU,2.426312376
4/6/20,AU,2.400951902
5/6/20,AU,2.375059097
6/6/20,AU,2.342042402
7/6/20,AU,2.320029257
8/6/20,AU,2.302872385
9/6/20,AU,2.267279605
10/6/20,AU,2.242649042
11/6/20,AU,2.220822963
12/6/20,AU,2.199181724
13/6/20,AU,2.175386768
14/6/20,AU,2.156447295
15/6/20,AU,2.139200796
16/6/20,AU,2.13324187
17/6/20,AU,2.12941405
18/6/20,AU,2.127840435
19/6/20,AU,2.13578977
20/6/20,AU,2.144999139
21/6/20,AU,2.150300504
22/6/20,AU,2.174574818
23/6/20,AU,2.192867608
24/6/20,AU,2.204394505
25/6/20,AU,2.215646468
26/6/20,AU,2.225507424
27/6/20,AU,2.238214921
28/6/20,AU,2.252802703
29/6/20,AU,2.254218186
30/6/20,AU,2.264751307
1/7/20,AU,2.27914869
2/7/20,AU,2.293728981
3/7/20,AU,2.305363452
4/7/20,AU,2.324548781
5/7/20,AU,2.343773213
6/7/20,AU,2.364930795
7/7/20,AU,2.378772697
8/7/20,AU,2.389964714
9/7/20,AU,2.404614741
10/7/20,AU,2.421586938
11/7/20,AU,2.438525207
12/7/20,AU,2.453867683
13/7/20,AU,2.466435672
14/7/20,AU,2.48602736
15/7/20,AU,2.501963135
16/7/20,AU,2.517375738
17/7/20,AU,2.529914245
18/7/20,AU,2.53514677
19/7/20,AU,2.546422289
20/7/20,AU,2.552261114
21/7/20,AU,2.552565288
22/7/20,AU,2.560411866
23/7/20,AU,2.564226363
24/7/20,AU,2.567633407
25/7/20,AU,2.574161941
26/7/20,AU,2.574737239
27/7/20,AU,2.578296529
28/7/20,AU,2.580350479
29/7/20,AU,2.577560915
30/7/20,AU,2.574850291
31/7/20,AU,2.571731077
1/8/20,AU,2.566750843
2/8/20,AU,2.565824574
3/8/20,AU,2.569113167
4/8/20,AU,2.571349358
5/8/20,AU,2.568057601
6/8/20,AU,2.570322776
7/8/20,AU,2.564900671
8/8/20,AU,2.554428667
9/8/20,AU,2.546139784
10/8/20,AU,2.532715613
11/8/20,AU,2.524712067
12/8/20,AU,2.514700898
13/8/20,AU,2.502365138
14/8/20,AU,2.500710587
15/8/20,AU,2.499375302
16/8/20,AU,2.500870106
17/8/20,AU,2.506348781
18/8/20,AU,2.503457722
19/8/20,AU,2.502195443
20/8/20,AU,2.50321955
21/8/20,AU,2.503552455
22/8/20,AU,2.510351738
23/8/20,AU,2.508620267
24/8/20,AU,2.504488811
25/8/20,AU,2.505727377
26/8/20,AU,2.511386177
27/8/20,AU,2.517247096
28/8/20,AU,2.514186979
29/8/20,AU,2.507450752
30/8/20,AU,2.503289868
31/8/20,AU,2.500556469
1/9/20,AU,2.493318731
2/9/20,AU,2.487562288
3/9/20,AU,2.475064947
4/9/20,AU,2.475086191
5/9/20,AU,2.473977975
6/9/20,AU,2.474234513
7/9/20,AU,2.473329522
8/9/20,AU,2.475159467
9/9/20,AU,2.469726713
10/9/20,AU,2.468165429
11/9/20,AU,2.46017001
12/9/20,AU,2.455176122
13/9/20,AU,2.447739612
14/9/20,AU,2.439994211
15/9/20,AU,2.435067228
16/9/20,AU,2.433740946
17/9/20,AU,2.438992933
18/9/20,AU,2.444737103
19/9/20,AU,2.447673305
20/9/20,AU,2.448574175
21/9/20,AU,2.445826904
22/9/20,AU,2.443285228
23/9/20,AU,2.441731682
24/9/20,AU,2.427905052
25/9/20,AU,2.414490014
26/9/20,AU,2.401264606
27/9/20,AU,2.385404541
28/9/20,AU,2.384730275
29/9/20,AU,2.381233938
30/9/20,AU,2.380091557
1/10/20,AU,2.39414015
2/10/20,AU,2.403873044
3/10/20,AU,2.41534426
4/10/20,AU,2.432413544
5/10/20,AU,2.438956964
6/10/20,AU,2.450326923
7/10/20,AU,2.446985567
8/10/20,AU,2.43889131
9/10/20,AU,2.431865641
10/10/20,AU,2.421820884
11/10/20,AU,2.412133739
12/10/20,AU,2.398986641
13/10/20,AU,2.388727592
14/10/20,AU,2.390363704
15/10/20,AU,2.391444484
16/10/20,AU,2.393672126
17/10/20,AU,2.400783161
18/10/20,AU,2.401038563
19/10/20,AU,2.400940444
20/10/20,AU,2.398299143
21/10/20,AU,2.401216979
22/10/20,AU,2.400310576
23/10/20,AU,2.405099285
24/10/20,AU,2.40836813
25/10/20,AU,2.417323797
26/10/20,AU,2.422732918
27/10/20,AU,2.424383701
28/10/20,AU,2.416107549
29/10/20,AU,2.407899372
30/10/20,AU,2.395912698
31/10/20,AU,2.38475175
1/11/20,AU,2.371949547
2/11/20,AU,2.369703214
3/11/20,AU,2.372330063
4/11/20,AU,2.38450851
5/11/20,AU,2.398205134
6/11/20,AU,2.412180573
7/11/20,AU,2.428592664
8/11/20,AU,2.442800098
9/11/20,AU,2.452855273
10/11/20,AU,2.460079993
11/11/20,AU,2.467366661
12/11/20,AU,2.474567014
13/11/20,AU,2.481564254
14/11/20,AU,2.483627962
15/11/20,AU,2.491649743
16/11/20,AU,2.496674008
17/11/20,AU,2.498971447
18/11/20,AU,2.49839741
19/11/20,AU,2.497434194
20/11/20,AU,2.49803585
21/11/20,AU,2.500373518
22/11/20,AU,2.50197058
23/11/20,AU,2.50638957
24/11/20,AU,2.511894238
25/11/20,AU,2.524187595
26/11/20,AU,2.537470658
27/11/20,AU,2.54991881
28/11/20,AU,2.564677601
29/11/20,AU,2.579316359
30/11/20,AU,2.594091966
1/12/20,AU,2.615601604
2/12/20,AU,2.630427934
3/12/20,AU,2.637814578
4/12/20,AU,2.643332425
5/12/20,AU,2.650361069
6/12/20,AU,2.652466313
7/12/20,AU,2.651311616
8/12/20,AU,2.645705039
9/12/20,AU,2.635726086
10/12/20,AU,2.630499823
11/12/20,AU,2.623830307
12/12/20,AU,2.615597791
13/12/20,AU,2.610032194
14/12/20,AU,2.609517886
15/12/20,AU,2.608447335
16/12/20,AU,2.615386264
17/12/20,AU,2.621906486
18/12/20,AU,2.634719764
19/12/20,AU,2.65174152
20/12/20,AU,2.666459659
21/12/20,AU,2.682922856
22/12/20,AU,2.714635752
23/12/20,AU,2.743440426
24/12/20,AU,2.778572042
25/12/20,AU,2.807040049
26/12/20,AU,2.832580353
27/12/20,AU,2.859733702
28/12/20,AU,2.887408857
29/12/20,AU,2.901959576
30/12/20,AU,2.91917052
31/12/20,AU,2.929416825
1/1/21,AU,2.949744432
2/1/21,AU,2.969536826
3/1/21,AU,2.987070871
4/1/21,AU,2.99938363
5/1/21,AU,3.002879823
6/1/21,AU,2.999060984
7/1/21,AU,2.992299467
8/1/21,AU,2.969600725
9/1/21,AU,2.948449883
10/1/21,AU,2.928255305
11/1/21,AU,2.904993828
12/1/21,AU,2.885579779
13/1/21,AU,2.867990741
14/1/21,AU,2.853098036
15/1/21,AU,2.848792801
16/1/21,AU,2.841607065
17/1/21,AU,2.835962849
18/1/21,AU,2.828789834
19/1/21,AU,2.826548
20/1/21,AU,2.829313706
21/1/21,AU,2.830026755
22/1/21,AU,2.828207628
23/1/21,AU,2.814472223
24/1/21,AU,2.811300019
25/1/21,AU,2.811353269
26/1/21,AU,2.812728116
27/1/21,AU,2.808627835
28/1/21,AU,2.804607131
29/1/21,AU,2.799973637
30/1/21,AU,2.805576144
31/1/21,AU,2.799533836
1/2/21,AU,2.796023525
2/2/21,AU,2.793543186
3/2/21,AU,2.789279654
4/2/21,AU,2.787722134
5/2/21,AU,2.792855128
6/2/21,AU,2.798670317
7/2/21,AU,2.807075378
8/2/21,AU,2.809787656
9/2/21,AU,2.805982591
10/2/21,AU,2.811600192
11/2/21,AU,2.820301869
12/2/21,AU,2.818787628
13/2/21,AU,2.819892427
14/2/21,AU,2.813462697
15/2/21,AU,2.831378347
16/2/21,AU,2.859005134
17/2/21,AU,2.874269665
18/2/21,AU,2.885760382
19/2/21,AU,2.907008992
20/2/21,AU,2.934458628
21/2/21,AU,2.964818654
22/2/21,AU,2.980541082
23/2/21,AU,2.990318009
24/2/21,AU,3.007404831
25/2/21,AU,3.023361396
26/2/21,AU,3.035965527
27/2/21,AU,3.039678843
28/2/21,AU,3.051767508
1/3/21,AU,3.060095349
2/3/21,AU,3.062295561
3/3/21,AU,3.066281738
4/3/21,AU,3.075315615
5/3/21,AU,3.079280137
6/3/21,AU,3.08911382
7/3/21,AU,3.090590487
8/3/21,AU,3.097136447
9/3/21,AU,3.100099232
10/3/21,AU,3.098299696
11/3/21,AU,3.093410796
12/3/21,AU,3.08879946
13/3/21,AU,3.080427381
14/3/21,AU,3.073352248
15/3/21,AU,3.060828975
16/3/21,AU,3.038403331
17/3/21,AU,3.016873374
18/3/21,AU,3.006400753
19/3/21,AU,2.996997978
20/3/21,AU,2.976980105
21/3/21,AU,2.965716331
22/3/21,AU,2.961314347
23/3/21,AU,2.97021582
24/3/21,AU,2.980937659
25/3/21,AU,2.983895368
26/3/21,AU,2.985472594
27/3/21,AU,2.992911081
28/3/21,AU,2.997064949
29/3/21,AU,2.98865654
30/3/21,AU,2.983898947
31/3/21,AU,2.972770618
1/4/21,AU,2.933339678
2/4/21,AU,2.906357752
3/4/21,AU,2.878262604
4/4/21,AU,2.84931203
5/4/21,AU,2.829455397
6/4/21,AU,2.809283096
7/4/21,AU,2.791491965
8/4/21,AU,2.789429307
9/4/21,AU,2.776903258
10/4/21,AU,2.779880652
11/4/21,AU,2.787659104
12/4/21,AU,2.791476194
13/4/21,AU,2.796626705
14/4/21,AU,2.795191028
15/4/21,AU,2.809388448
16/4/21,AU,2.825622054
17/4/21,AU,2.826866223
18/4/21,AU,2.822431126
19/4/21,AU,2.819533251
20/4/21,AU,2.8128267
21/4/21,AU,2.844536085
22/4/21,AU,2.869941585
23/4/21,AU,2.890812056
24/4/21,AU,2.919061073
25/4/21,AU,2.949806898
26/4/21,AU,2.979908423
27/4/21,AU,3.015148377
28/4/21,AU,3.026548251
29/4/21,AU,3.038527326
30/4/21,AU,3.036019761
1/5/21,AU,3.025109151
2/5/21,AU,3.013127784
3/5/21,AU,3.005122811
4/5/21,AU,2.990184543
5/5/21,AU,2.970135741
6/5/21,AU,2.944484199
7/5/21,AU,2.938889922
8/5/21,AU,2.932428822
9/5/21,AU,2.921427119
10/5/21,AU,2.904338164
11/5/21,AU,2.892643242
12/5/21,AU,2.890273209
13/5/21,AU,2.89200906
14/5/21,AU,2.897674936
15/5/21,AU,2.902468662
16/5/21,AU,2.909766432
17/5/21,AU,2.921156221
18/5/21,AU,2.93157914
19/5/21,AU,2.926953606
20/5/21,AU,2.926571694
21/5/21,AU,2.929785326
22/5/21,AU,2.93663572
23/5/21,AU,2.953217214
24/5/21,AU,2.966058233
25/5/21,AU,2.981096951
26/5/21,AU,2.998952727
27/5/21,AU,3.007300931
28/5/21,AU,3.011913603
29/5/21,AU,3.012469364
30/5/21,AU,3.003718884
31/5/21,AU,2.996407491
1/6/21,AU,2.989636642
2/6/21,AU,2.986972766
3/6/21,AU,2.990132197
4/6/21,AU,2.985862685
5/6/21,AU,2.985357076
6/6/21,AU,2.987778718
7/6/21,AU,2.98760802
8/6/21,AU,2.987786732
9/6/21,AU,2.997733336
10/6/21,AU,3.011549064
11/6/21,AU,3.026047072
12/6/21,AU,3.03767332
13/6/21,AU,3.050882645
14/6/21,AU,3.065793627
15/6/21,AU,3.084003554
16/6/21,AU,3.092805179
17/6/21,AU,3.094435833
18/6/21,AU,3.094882055
19/6/21,AU,3.102624912
20/6/21,AU,3.10805604
21/6/21,AU,3.11358451
22/6/21,AU,3.115853049
23/6/21,AU,3.12407266
24/6/21,AU,3.131160323
25/6/21,AU,3.142318139
26/6/21,AU,3.152635551
27/6/21,AU,3.163385432
28/6/21,AU,3.169206861
29/6/21,AU,3.175984302
30/6/21,AU,3.179062293
1/7/21,AU,3.189481028
2/7/21,AU,3.199575652
3/7/21,AU,3.209572871
4/7/21,AU,3.217729177
5/7/21,AU,3.233085356
6/7/21,AU,3.251271071
7/7/21,AU,3.261750315
8/7/21,AU,3.270775881
9/7/21,AU,3.282375394
10/7/21,AU,3.289138874
11/7/21,AU,3.295191978
12/7/21,AU,3.300936904
13/7/21,AU,3.302021941
14/7/21,AU,3.309754515
15/7/21,AU,3.316424843
16/7/21,AU,3.310434643
17/7/21,AU,3.304270122
18/7/21,AU,3.301313262
19/7/21,AU,3.311178167
