date,jobcountry,% of job postings
16/5/19,AU,0.00135213
17/5/19,AU,0.001349112
18/5/19,AU,0.001348097
19/5/19,AU,0.001344529
20/5/19,AU,0.001338988
21/5/19,AU,0.001333818
22/5/19,AU,0.001328594
23/5/19,AU,0.001323996
24/5/19,AU,0.0013167
25/5/19,AU,0.001307899
26/5/19,AU,0.001300578
27/5/19,AU,0.001292991
28/5/19,AU,0.001285897
29/5/19,AU,0.001281112
30/5/19,AU,0.001276735
31/5/19,AU,0.001273952
1/6/19,AU,0.00127261
2/6/19,AU,0.001273397
3/6/19,AU,0.001275884
4/6/19,AU,0.001280911
5/6/19,AU,0.001100806
6/6/19,AU,0.001102992
7/6/19,AU,0.001104473
8/6/19,AU,0.001105035
9/6/19,AU,0.001104951
10/6/19,AU,0.001107549
11/6/19,AU,0.001107354
12/6/19,AU,0.001291051
13/6/19,AU,0.001293651
14/6/19,AU,0.001296934
15/6/19,AU,0.001301971
16/6/19,AU,0.001304191
17/6/19,AU,0.001305523
18/6/19,AU,0.001305799
19/6/19,AU,0.001306446
20/6/19,AU,0.001305916
21/6/19,AU,0.001307721
22/6/19,AU,0.001305947
23/6/19,AU,0.001307535
24/6/19,AU,0.001308202
25/6/19,AU,0.001310301
26/6/19,AU,0.001314914
27/6/19,AU,0.001319678
28/6/19,AU,0.001321023
29/6/19,AU,0.001323824
30/6/19,AU,0.001327161
1/7/19,AU,0.00133357
2/7/19,AU,0.001338215
3/7/19,AU,0.001340722
4/7/19,AU,0.001341475
5/7/19,AU,0.001343821
6/7/19,AU,0.001345031
7/7/19,AU,0.00134563
8/7/19,AU,0.001343305
9/7/19,AU,0.001341377
10/7/19,AU,0.001340201
11/7/19,AU,0.001340261
12/7/19,AU,0.001339722
13/7/19,AU,0.001341321
14/7/19,AU,0.001340313
15/7/19,AU,0.001337466
16/7/19,AU,0.00133577
17/7/19,AU,0.001333351
18/7/19,AU,0.001328704
19/7/19,AU,0.001325089
20/7/19,AU,0.001322311
21/7/19,AU,0.001319873
22/7/19,AU,0.001318379
23/7/19,AU,0.001316712
24/7/19,AU,0.001319974
25/7/19,AU,0.001320058
26/7/19,AU,0.00132829
27/7/19,AU,0.00133467
28/7/19,AU,0.001341452
29/7/19,AU,0.001345466
30/7/19,AU,0.001348156
31/7/19,AU,0.001341939
1/8/19,AU,0.001341901
2/8/19,AU,0.001332567
3/8/19,AU,0.0013219
4/8/19,AU,0.001312916
5/8/19,AU,0.001307987
6/8/19,AU,0.001303319
7/8/19,AU,0.001305695
8/8/19,AU,0.001305589
9/8/19,AU,0.001306654
10/8/19,AU,0.001307329
11/8/19,AU,0.001310103
12/8/19,AU,0.001310368
13/8/19,AU,0.001310145
14/8/19,AU,0.001306876
15/8/19,AU,0.00130376
16/8/19,AU,0.001301117
17/8/19,AU,0.001304132
18/8/19,AU,0.001304403
19/8/19,AU,0.001305752
20/8/19,AU,0.001306849
21/8/19,AU,0.001310596
22/8/19,AU,0.001314325
23/8/19,AU,0.001318069
24/8/19,AU,0.001313061
25/8/19,AU,0.001307416
26/8/19,AU,0.00129982
27/8/19,AU,0.001295211
28/8/19,AU,0.001288111
29/8/19,AU,0.001281578
30/8/19,AU,0.001096747
31/8/19,AU,0.000910798
1/9/19,AU,0.000726147
2/9/19,AU,0.000542328
3/9/19,AU,0.000359585
4/9/19,AU,0.000178918
5/9/19,AU,0
6/9/19,AU,0
7/9/19,AU,0
8/9/19,AU,0
9/9/19,AU,0.000182504
10/9/19,AU,0.00036319
11/9/19,AU,0.000542677
12/9/19,AU,0.000720408
13/9/19,AU,0.000895517
14/9/19,AU,0.001075894
15/9/19,AU,0.001254127
16/9/19,AU,0.001250096
17/9/19,AU,0.001245978
18/9/19,AU,0.001239929
19/9/19,AU,0.001234557
20/9/19,AU,0.001229143
21/9/19,AU,0.001230178
22/9/19,AU,0.001234254
23/9/19,AU,0.00123766
24/9/19,AU,0.001240433
25/9/19,AU,0.001243609
26/9/19,AU,0.001245126
27/9/19,AU,0.001248953
28/9/19,AU,0.001245454
29/9/19,AU,0.001240493
30/9/19,AU,0.001238502
1/10/19,AU,0.001237984
2/10/19,AU,0.001239005
3/10/19,AU,0.001241975
4/10/19,AU,0.001244412
5/10/19,AU,0.00124857
6/10/19,AU,0.001252723
7/10/19,AU,0.001255133
8/10/19,AU,0.00125795
9/10/19,AU,0.001259306
10/10/19,AU,0.001082459
11/10/19,AU,0.0009065
12/10/19,AU,0.000724429
13/10/19,AU,0.000542928
14/10/19,AU,0.000360629
15/10/19,AU,0.00017899
16/10/19,AU,0
17/10/19,AU,0
18/10/19,AU,0
19/10/19,AU,0
20/10/19,AU,0
21/10/19,AU,0
22/10/19,AU,0.000182376
23/10/19,AU,0.000362863
24/10/19,AU,0.000541839
25/10/19,AU,0.000718888
26/10/19,AU,0.000900571
27/10/19,AU,0.001082386
28/10/19,AU,0.001264939
29/10/19,AU,0.00126193
30/10/19,AU,0.001259518
31/10/19,AU,0.001259514
1/11/19,AU,0.001264581
2/11/19,AU,0.001270693
3/11/19,AU,0.001274817
4/11/19,AU,0.001277829
5/11/19,AU,0.001281497
6/11/19,AU,0.001284473
7/11/19,AU,0.001284725
8/11/19,AU,0.001281979
9/11/19,AU,0.001279537
10/11/19,AU,0.001278075
11/11/19,AU,0.00127775
12/11/19,AU,0.001278362
13/11/19,AU,0.001280027
14/11/19,AU,0.001282445
15/11/19,AU,0.001283662
16/11/19,AU,0.001098309
17/11/19,AU,0.000913832
18/11/19,AU,0.000728592
19/11/19,AU,0.000544945
20/11/19,AU,0.000362228
21/11/19,AU,0.000180587
22/11/19,AU,0
23/11/19,AU,0
24/11/19,AU,0
25/11/19,AU,0
26/11/19,AU,0
27/11/19,AU,0
28/11/19,AU,0
29/11/19,AU,0
30/11/19,AU,0
1/12/19,AU,0
2/12/19,AU,0
3/12/19,AU,0
4/12/19,AU,0
5/12/19,AU,0
6/12/19,AU,0
7/12/19,AU,0
8/12/19,AU,0
9/12/19,AU,0
10/12/19,AU,0
11/12/19,AU,0
12/12/19,AU,0
13/12/19,AU,0
14/12/19,AU,0
15/12/19,AU,0
16/12/19,AU,0
17/12/19,AU,0
18/12/19,AU,0
19/12/19,AU,0
20/12/19,AU,0
21/12/19,AU,0
22/12/19,AU,0
23/12/19,AU,0
24/12/19,AU,0
25/12/19,AU,0
26/12/19,AU,0
27/12/19,AU,0
28/12/19,AU,0
29/12/19,AU,0
30/12/19,AU,0
31/12/19,AU,0
1/1/20,AU,0
2/1/20,AU,0
3/1/20,AU,0
4/1/20,AU,0
5/1/20,AU,0
6/1/20,AU,0
7/1/20,AU,0
8/1/20,AU,0
9/1/20,AU,0
10/1/20,AU,0
11/1/20,AU,0
12/1/20,AU,0
13/1/20,AU,0
14/1/20,AU,0
15/1/20,AU,0
16/1/20,AU,0
17/1/20,AU,0
18/1/20,AU,0
19/1/20,AU,0
20/1/20,AU,0
21/1/20,AU,0
22/1/20,AU,0
23/1/20,AU,0
24/1/20,AU,0
25/1/20,AU,0
26/1/20,AU,0
27/1/20,AU,0
28/1/20,AU,0
29/1/20,AU,0
30/1/20,AU,0
31/1/20,AU,0
1/2/20,AU,0
2/2/20,AU,0
3/2/20,AU,0
4/2/20,AU,0
5/2/20,AU,0
6/2/20,AU,0
7/2/20,AU,0
8/2/20,AU,0
9/2/20,AU,0
10/2/20,AU,0
11/2/20,AU,0
12/2/20,AU,0
13/2/20,AU,0
14/2/20,AU,0
15/2/20,AU,0
16/2/20,AU,0
17/2/20,AU,0
18/2/20,AU,0
19/2/20,AU,0
20/2/20,AU,0
21/2/20,AU,0
22/2/20,AU,0
23/2/20,AU,0
24/2/20,AU,0
25/2/20,AU,0
26/2/20,AU,0
27/2/20,AU,0
28/2/20,AU,0
29/2/20,AU,0
1/3/20,AU,0
2/3/20,AU,0
3/3/20,AU,0
4/3/20,AU,0
5/3/20,AU,0
6/3/20,AU,0
7/3/20,AU,0
8/3/20,AU,0
9/3/20,AU,0
10/3/20,AU,0
11/3/20,AU,0
12/3/20,AU,0
13/3/20,AU,0
14/3/20,AU,0
15/3/20,AU,0
16/3/20,AU,0
17/3/20,AU,0
18/3/20,AU,0
19/3/20,AU,0
20/3/20,AU,0
21/3/20,AU,0
22/3/20,AU,0
23/3/20,AU,0
24/3/20,AU,0
25/3/20,AU,0
26/3/20,AU,0
27/3/20,AU,0
28/3/20,AU,0
29/3/20,AU,0
30/3/20,AU,0
31/3/20,AU,0
1/4/20,AU,0
2/4/20,AU,0
3/4/20,AU,0
4/4/20,AU,0
5/4/20,AU,0
6/4/20,AU,0
7/4/20,AU,0
8/4/20,AU,0
9/4/20,AU,0
10/4/20,AU,0
11/4/20,AU,0
12/4/20,AU,0
13/4/20,AU,0
14/4/20,AU,0
15/4/20,AU,0
16/4/20,AU,0
17/4/20,AU,0
18/4/20,AU,0
19/4/20,AU,0
20/4/20,AU,0
21/4/20,AU,0
22/4/20,AU,0
23/4/20,AU,0
24/4/20,AU,0
25/4/20,AU,0
26/4/20,AU,0
27/4/20,AU,0
28/4/20,AU,0
29/4/20,AU,0
30/4/20,AU,0
1/5/20,AU,0
2/5/20,AU,0
3/5/20,AU,0
4/5/20,AU,0
5/5/20,AU,0
6/5/20,AU,0
7/5/20,AU,0
8/5/20,AU,0
9/5/20,AU,0
10/5/20,AU,0
11/5/20,AU,0
12/5/20,AU,0
13/5/20,AU,0
14/5/20,AU,0
15/5/20,AU,0
16/5/20,AU,0
17/5/20,AU,0
18/5/20,AU,0
19/5/20,AU,0
20/5/20,AU,0
21/5/20,AU,0
22/5/20,AU,0
23/5/20,AU,0
24/5/20,AU,0
25/5/20,AU,0
26/5/20,AU,0
27/5/20,AU,0
28/5/20,AU,0
29/5/20,AU,0
30/5/20,AU,0
31/5/20,AU,0
1/6/20,AU,0
2/6/20,AU,0
3/6/20,AU,0
4/6/20,AU,0
5/6/20,AU,0
6/6/20,AU,0
7/6/20,AU,0
8/6/20,AU,0
9/6/20,AU,0
10/6/20,AU,0
11/6/20,AU,0
12/6/20,AU,0
13/6/20,AU,0
14/6/20,AU,0
15/6/20,AU,0
16/6/20,AU,0
17/6/20,AU,0
18/6/20,AU,0
19/6/20,AU,0
20/6/20,AU,0
21/6/20,AU,0
22/6/20,AU,0
23/6/20,AU,0
24/6/20,AU,0
25/6/20,AU,0
26/6/20,AU,0
27/6/20,AU,0
28/6/20,AU,0
29/6/20,AU,0
30/6/20,AU,0
1/7/20,AU,0
2/7/20,AU,0
3/7/20,AU,0
4/7/20,AU,0
5/7/20,AU,0
6/7/20,AU,0
7/7/20,AU,0
8/7/20,AU,0
9/7/20,AU,0
10/7/20,AU,0
11/7/20,AU,0
12/7/20,AU,0
13/7/20,AU,0
14/7/20,AU,0
15/7/20,AU,0
16/7/20,AU,0
17/7/20,AU,0
18/7/20,AU,0
19/7/20,AU,0
20/7/20,AU,0
21/7/20,AU,0
22/7/20,AU,0
23/7/20,AU,0
24/7/20,AU,0
25/7/20,AU,0
26/7/20,AU,0
27/7/20,AU,0
28/7/20,AU,0
29/7/20,AU,0
30/7/20,AU,0
31/7/20,AU,0
1/8/20,AU,0
2/8/20,AU,0
3/8/20,AU,0
4/8/20,AU,0
5/8/20,AU,0
6/8/20,AU,0
7/8/20,AU,0
8/8/20,AU,0
9/8/20,AU,0
10/8/20,AU,0
11/8/20,AU,0
12/8/20,AU,0
13/8/20,AU,0
14/8/20,AU,0
15/8/20,AU,0
16/8/20,AU,0
17/8/20,AU,0
18/8/20,AU,0
19/8/20,AU,0
20/8/20,AU,0
21/8/20,AU,0
22/8/20,AU,0
23/8/20,AU,0
24/8/20,AU,0
25/8/20,AU,0
26/8/20,AU,0
27/8/20,AU,0
28/8/20,AU,0
29/8/20,AU,0
30/8/20,AU,0
31/8/20,AU,0
1/9/20,AU,0
2/9/20,AU,0
3/9/20,AU,0
4/9/20,AU,0
5/9/20,AU,0
6/9/20,AU,0
7/9/20,AU,0
8/9/20,AU,0
9/9/20,AU,0
10/9/20,AU,0
11/9/20,AU,0
12/9/20,AU,0
13/9/20,AU,0
14/9/20,AU,0
15/9/20,AU,0
16/9/20,AU,0
17/9/20,AU,0
18/9/20,AU,0
19/9/20,AU,0
20/9/20,AU,0
21/9/20,AU,0
22/9/20,AU,0
23/9/20,AU,0
24/9/20,AU,0
25/9/20,AU,0
26/9/20,AU,0
27/9/20,AU,0
28/9/20,AU,0
29/9/20,AU,0
30/9/20,AU,0
1/10/20,AU,0
2/10/20,AU,0
3/10/20,AU,0
4/10/20,AU,0
5/10/20,AU,0
6/10/20,AU,0
7/10/20,AU,0
8/10/20,AU,0
9/10/20,AU,0
10/10/20,AU,0
11/10/20,AU,0
12/10/20,AU,0
13/10/20,AU,0
14/10/20,AU,0
15/10/20,AU,0
16/10/20,AU,0
17/10/20,AU,0
18/10/20,AU,0
19/10/20,AU,0
20/10/20,AU,0.000198129
21/10/20,AU,0.000390359
22/10/20,AU,0.000581293
23/10/20,AU,0.000773161
24/10/20,AU,0.000975477
25/10/20,AU,0.00117852
26/10/20,AU,0.001380167
27/10/20,AU,0.001380434
28/10/20,AU,0.001383208
29/10/20,AU,0.001384518
30/10/20,AU,0.001383595
31/10/20,AU,0.001378304
1/11/20,AU,0.001372747
2/11/20,AU,0.00136902
3/11/20,AU,0.001366687
4/11/20,AU,0.001365223
5/11/20,AU,0.001363678
6/11/20,AU,0.001361638
7/11/20,AU,0.001358283
8/11/20,AU,0.001353963
9/11/20,AU,0.001349298
10/11/20,AU,0.001343989
11/11/20,AU,0.001338742
12/11/20,AU,0.001335319
13/11/20,AU,0.001331602
14/11/20,AU,0.001331565
15/11/20,AU,0.001328572
16/11/20,AU,0.001325503
17/11/20,AU,0.001322784
18/11/20,AU,0.001319549
19/11/20,AU,0.001313812
20/11/20,AU,0.001310079
21/11/20,AU,0.001303233
22/11/20,AU,0.001487601
23/11/20,AU,0.001670039
24/11/20,AU,0.001851016
25/11/20,AU,0.00203247
26/11/20,AU,0.002212796
27/11/20,AU,0.002392763
28/11/20,AU,0.002576547
29/11/20,AU,0.002576022
30/11/20,AU,0.002577922
1/12/20,AU,0.002587897
2/12/20,AU,0.00259908
3/12/20,AU,0.002609408
4/12/20,AU,0.002617863
5/12/20,AU,0.002626077
6/12/20,AU,0.002630973
7/12/20,AU,0.002446238
8/12/20,AU,0.002253783
9/12/20,AU,0.002059295
10/12/20,AU,0.001869987
11/12/20,AU,0.001682755
12/12/20,AU,0.00149529
13/12/20,AU,0.00130475
14/12/20,AU,0.001304778
15/12/20,AU,0.001307622
16/12/20,AU,0.001312878
17/12/20,AU,0.001318496
18/12/20,AU,0.001330818
19/12/20,AU,0.00134169
20/12/20,AU,0.001354559
21/12/20,AU,0.001368922
22/12/20,AU,0.001392072
23/12/20,AU,0.001414726
24/12/20,AU,0.001439455
25/12/20,AU,0.001461292
26/12/20,AU,0.00148225
27/12/20,AU,0.001503065
28/12/20,AU,0.001523378
29/12/20,AU,0.001535893
30/12/20,AU,0.001550368
31/12/20,AU,0.001563958
1/1/21,AU,0.001579358
2/1/21,AU,0.001594552
3/1/21,AU,0.001610373
4/1/21,AU,0.001619432
5/1/21,AU,0.001622511
6/1/21,AU,0.001618728
7/1/21,AU,0.001609517
8/1/21,AU,0.001591958
9/1/21,AU,0.001576266
10/1/21,AU,0.001558088
11/1/21,AU,0.001540655
12/1/21,AU,0.001522487
13/1/21,AU,0.001504884
14/1/21,AU,0.001485035
15/1/21,AU,0.001464867
16/1/21,AU,0.001441598
17/1/21,AU,0.001421532
18/1/21,AU,0.001402383
19/1/21,AU,0.001385555
20/1/21,AU,0.001370445
21/1/21,AU,0.001358545
22/1/21,AU,0.001345848
23/1/21,AU,0.001336658
24/1/21,AU,0.001321648
25/1/21,AU,0.001308128
26/1/21,AU,0.001299272
27/1/21,AU,0.001292628
28/1/21,AU,0.001285976
29/1/21,AU,0.001280766
30/1/21,AU,0.001273036
31/1/21,AU,0.001269702
1/2/21,AU,0.001267198
2/2/21,AU,0.001261841
3/2/21,AU,0.001254835
4/2/21,AU,0.001250288
5/2/21,AU,0.001246577
6/2/21,AU,0.001244015
7/2/21,AU,0.001240328
8/2/21,AU,0.001236189
9/2/21,AU,0.00123065
10/2/21,AU,0.001226204
11/2/21,AU,0.001219332
12/2/21,AU,0.001212409
13/2/21,AU,0.001204453
14/2/21,AU,0.001194625
15/2/21,AU,0.001184806
16/2/21,AU,0.001011434
17/2/21,AU,0.000840433
18/2/21,AU,0.000672642
19/2/21,AU,0.000506709
20/2/21,AU,0.000334762
21/2/21,AU,0.000166989
22/2/21,AU,0
23/2/21,AU,0
24/2/21,AU,0
25/2/21,AU,0
26/2/21,AU,0
27/2/21,AU,0
28/2/21,AU,0
1/3/21,AU,0
2/3/21,AU,0
3/3/21,AU,0
4/3/21,AU,0
5/3/21,AU,0
6/3/21,AU,0
7/3/21,AU,0
8/3/21,AU,0
9/3/21,AU,0
10/3/21,AU,0
11/3/21,AU,0
12/3/21,AU,0
13/3/21,AU,0
14/3/21,AU,0
15/3/21,AU,0
16/3/21,AU,0
17/3/21,AU,0
18/3/21,AU,0
19/3/21,AU,0
20/3/21,AU,0
21/3/21,AU,0
22/3/21,AU,0
23/3/21,AU,0
24/3/21,AU,0
25/3/21,AU,0
26/3/21,AU,0
27/3/21,AU,0
28/3/21,AU,0
29/3/21,AU,0
30/3/21,AU,0
31/3/21,AU,0
1/4/21,AU,0
2/4/21,AU,0
3/4/21,AU,0
4/4/21,AU,0
5/4/21,AU,0
6/4/21,AU,0
7/4/21,AU,0
8/4/21,AU,0
9/4/21,AU,0
10/4/21,AU,0
11/4/21,AU,0
12/4/21,AU,0
13/4/21,AU,0
14/4/21,AU,0
15/4/21,AU,0
16/4/21,AU,0
17/4/21,AU,0
18/4/21,AU,0
19/4/21,AU,0
20/4/21,AU,0
21/4/21,AU,0
22/4/21,AU,0
23/4/21,AU,0
24/4/21,AU,0
25/4/21,AU,0
26/4/21,AU,0
27/4/21,AU,0
28/4/21,AU,0
29/4/21,AU,0
30/4/21,AU,0
1/5/21,AU,0
2/5/21,AU,0
3/5/21,AU,0
4/5/21,AU,0
5/5/21,AU,0
6/5/21,AU,0
7/5/21,AU,0
8/5/21,AU,0
9/5/21,AU,0
10/5/21,AU,0
11/5/21,AU,0
12/5/21,AU,0
13/5/21,AU,0
14/5/21,AU,0
15/5/21,AU,0
16/5/21,AU,0
17/5/21,AU,0
18/5/21,AU,0
19/5/21,AU,0
20/5/21,AU,0
21/5/21,AU,0
22/5/21,AU,0
23/5/21,AU,0
24/5/21,AU,0
25/5/21,AU,0
26/5/21,AU,0
27/5/21,AU,0
28/5/21,AU,0
29/5/21,AU,0
30/5/21,AU,0
31/5/21,AU,0
1/6/21,AU,0
2/6/21,AU,0
3/6/21,AU,0
4/6/21,AU,0
5/6/21,AU,0
6/6/21,AU,0
7/6/21,AU,0
8/6/21,AU,0
9/6/21,AU,0
10/6/21,AU,0
11/6/21,AU,0
12/6/21,AU,0
13/6/21,AU,0
14/6/21,AU,0
15/6/21,AU,0
16/6/21,AU,0
17/6/21,AU,0
18/6/21,AU,0
19/6/21,AU,0
20/6/21,AU,0
21/6/21,AU,0
22/6/21,AU,0
23/6/21,AU,0
24/6/21,AU,0
25/6/21,AU,0
26/6/21,AU,0
27/6/21,AU,0
28/6/21,AU,0.000134733
29/6/21,AU,0.000268415
30/6/21,AU,0.000400589
1/7/21,AU,0.000532949
2/7/21,AU,0.000664192
3/7/21,AU,0.000799287
4/7/21,AU,0.000933059
5/7/21,AU,0.000932481
6/7/21,AU,0.000932445
7/7/21,AU,0.000930658
8/7/21,AU,0.000929518
9/7/21,AU,0.000928771
10/7/21,AU,0.000928499
11/7/21,AU,0.00092787
12/7/21,AU,0.000928893
13/7/21,AU,0.000928262
14/7/21,AU,0.000929895
15/7/21,AU,0.000929889
16/7/21,AU,0.000930258
17/7/21,AU,0.000931026
18/7/21,AU,0.00093083
19/7/21,AU,0.000928353
20/7/21,AU,0.000927975
21/7/21,AU,0.000926761
22/7/21,AU,0.000924155
23/7/21,AU,0.000922267
24/7/21,AU,0.000919667
25/7/21,AU,0.000918207
26/7/21,AU,0.000918852
27/7/21,AU,0.000918978
28/7/21,AU,0.000919475
29/7/21,AU,0.000920472
30/7/21,AU,0.000791494
31/7/21,AU,0.000658504
1/8/21,AU,0.000527016
2/8/21,AU,0.000393671
3/8/21,AU,0.000260908
4/8/21,AU,0.000129605
5/8/21,AU,0
6/8/21,AU,0
7/8/21,AU,0
8/8/21,AU,0
9/8/21,AU,0
10/8/21,AU,0.000129976
11/8/21,AU,0.000260475
12/8/21,AU,0.000390127
13/8/21,AU,0.000519292
14/8/21,AU,0.000652642
15/8/21,AU,0.000783923
16/8/21,AU,0.000915855
17/8/21,AU,0.000918071
18/8/21,AU,0.000917689
19/8/21,AU,0.000916851
20/8/21,AU,0.000916215
21/8/21,AU,0.000915049
22/8/21,AU,0.000914941
23/8/21,AU,0.000783009
24/8/21,AU,0.000650817
25/8/21,AU,0.000520699
26/8/21,AU,0.000391886
27/8/21,AU,0.000263357
28/8/21,AU,0.000131172
29/8/21,AU,0
30/8/21,AU,0
31/8/21,AU,0
1/9/21,AU,0
2/9/21,AU,0
3/9/21,AU,0
4/9/21,AU,0
5/9/21,AU,0
6/9/21,AU,0
7/9/21,AU,0
8/9/21,AU,0
9/9/21,AU,0
10/9/21,AU,0
11/9/21,AU,0
12/9/21,AU,0
13/9/21,AU,0
14/9/21,AU,0
15/9/21,AU,0
16/9/21,AU,0
17/9/21,AU,0
18/9/21,AU,0
19/9/21,AU,0
20/9/21,AU,0
21/9/21,AU,0
22/9/21,AU,0
23/9/21,AU,0
24/9/21,AU,0
25/9/21,AU,0
26/9/21,AU,0
27/9/21,AU,0
28/9/21,AU,0
29/9/21,AU,0
30/9/21,AU,0
1/10/21,AU,0
2/10/21,AU,0
3/10/21,AU,0
4/10/21,AU,0
5/10/21,AU,0
6/10/21,AU,0
7/10/21,AU,0
8/10/21,AU,0
9/10/21,AU,0
10/10/21,AU,0
11/10/21,AU,0
12/10/21,AU,0
13/10/21,AU,0
14/10/21,AU,0
15/10/21,AU,0
16/10/21,AU,0
17/10/21,AU,0
18/10/21,AU,0.000112156
19/10/21,AU,0.000222999
20/10/21,AU,0.000331808
21/10/21,AU,0.000440281
22/10/21,AU,0.000547007
23/10/21,AU,0.000547007
24/10/21,AU,0.000547007
25/10/21,AU,0.000434851
26/10/21,AU,0.000431316
27/10/21,AU,0.000428514
28/10/21,AU,0.000424323
29/10/21,AU,0.000421137
30/10/21,AU,0.000526798
31/10/21,AU,0.000632809
1/11/21,AU,0.000740268
2/11/21,AU,0.000739774
3/11/21,AU,0.000739489
4/11/21,AU,0.000739414
5/11/21,AU,0.000739416
6/11/21,AU,0.000738963
7/11/21,AU,0.000737716
8/11/21,AU,0.000736294
9/11/21,AU,0.000733477
10/11/21,AU,0.000730365
11/11/21,AU,0.000727368
12/11/21,AU,0.000725089
13/11/21,AU,0.000723612
14/11/21,AU,0.000720914
15/11/21,AU,0.000718177
16/11/21,AU,0.000716333
17/11/21,AU,0.000714252
18/11/21,AU,0.000713141
19/11/21,AU,0.000711973
20/11/21,AU,0.000711929
21/11/21,AU,0.00071164
22/11/21,AU,0.00071103
23/11/21,AU,0.000710776
24/11/21,AU,0.000712298
25/11/21,AU,0.000713169
26/11/21,AU,0.000713912
27/11/21,AU,0.000713869
28/11/21,AU,0.000714631
29/11/21,AU,0.000716867
30/11/21,AU,0.000717268
1/12/21,AU,0.000718157
2/12/21,AU,0.000719926
3/12/21,AU,0.000721304
4/12/21,AU,0.000722836
5/12/21,AU,0.000724957
6/12/21,AU,0.000726423
7/12/21,AU,0.000729338
